mdsp_dm,mdsp_inst,mdsp_nsp,mdsp_auddig,mdsp_audtr,mdsp_vidtr,mdsp_viddig,mdsp_so,mdsp_on,mdsp_sem,sales
852681.36,77355.24,66580.69,4205.89,116023.47,231118.11,19085.78,154024.32,128465.64,390653.44,126107351.9
199935.92,113228.22,230020.87,3212.28,151978.85,149066.02,15418.54,181307.48,228372.45,700650.64,143648301.6
1185013.81,56830.19,78757.55,1519.26,94834.08,64743.12,4777.13,101870.24,230154.82,450757.16,68397609.52
648159.69,96239.69,192386.66,1290.66,93982.99,289070.67,8657.06,151361.53,271001.15,302832.01,97823796.06
902120.46,36827.56,145213.25,870.35,45044.44,103734.98,9514.33,56615.66,181033.27,309246.43,105193697.9
232204.77,122887.36,98080.9,2655.24,125124.81,220477.36,24161.78,55889.29,183526.61,344055.36,113971716.4
443815.63,54874.87,163660.23,3810.3,104323.95,204858.38,16767.59,73716.15,129993.71,528415.73,71210800.01
571661.59,72642.59,179295.28,1.62,240.02,80911.84,11027.88,131574.69,104305.18,305692.65,66022045.4
603827.5,33639.15,205032.92,1.62,240.02,50928.56,5596.5,82994.03,99005.46,266723.19,104938423.3
943683.3,38895.42,70239.92,690.42,29001.8,31712.56,1998.86,141695.22,105276.17,278239.6,57017204.54
670909.25,68521.18,288903.67,4781.07,117107.56,225332.22,24169.71,36145.37,209646.52,293616.01,77125173.33
151868.09,127497.59,141862.45,2635.51,73230.66,105608.64,13561.62,74160.46,219626.23,593073.38,64000886.49
464688.65,54198.95,71360.01,4733.63,151341.73,71656.65,7910.94,35890.76,114844.22,485503.95,102923206.8
984331.81,58450.28,52271.95,1925.28,64767.54,133754.87,28188.01,38741.95,237628.07,602316.44,108513225.5
724748.75,149618.38,108934.87,3913.15,85270.01,283034.42,25219.45,18034.83,282179.52,384969.2,115056568.2
764365.96,126800.4,150019.15,2219.16,235586.48,133937.18,29129.07,33498.98,327533.99,414857.75,75518111.47
592454.74,18272.73,109076.14,2412.83,149704.32,124984.72,6045.4,43443.48,318266.31,348335.87,68229325.69
2409895.71,47097.8,125286.26,2283.2,69372.99,225935.41,42407.39,25507.12,169059.04,529179.6,62915357.98
